#Segment,Country, Product ,Units Sold, Manufacturing Price , Sale Price ,Date
Enterprise,United States of America, Montana ,663, $5.00 , $125.00 ,01/10/2013
Midmarket,United States of America, Paseo ,1514, $10.00 , $15.00 ,01/02/2014
Government,United States of America, Paseo ,4492.5, $10.00 , $7.00 ,01/04/2014
Enterprise,United States of America, Paseo ,727, $10.00 , $125.00 ,01/06/2014
Enterprise,France, Paseo ,787, $10.00 , $125.00 ,01/06/2014
Enterprise,Mexico, Paseo ,1823, $10.00 , $125.00 ,01/07/2014
Midmarket,Germany, Paseo ,747, $10.00 , $15.00 ,01/09/2014
Channel Partners,Germany, Paseo ,766, $10.00 , $12.00 ,01/10/2013
Small Business,United States of America, Paseo ,2905, $10.00 , $300.00 ,01/11/2014
Government,France, Paseo ,2155, $10.00 , $350.00 ,01/12/2014
Government,France, Velo ,3864, $120.00 , $20.00 ,01/04/2014
Government,Mexico, Velo ,362, $120.00 , $7.00 ,01/05/2014
Enterprise,Canada, Velo ,923, $120.00 , $125.00 ,01/08/2014
Enterprise,United States of America, Velo ,663, $120.00 , $125.00 ,01/10/2013
Government,Canada, Velo ,2092, $120.00 , $7.00 ,01/11/2013
Government,Germany, VTT ,263, $250.00 , $7.00 ,01/03/2014
Government,Canada, VTT ,943.5, $250.00 , $350.00 ,01/04/2014
Enterprise,United States of America, VTT ,727, $250.00 , $125.00 ,01/06/2014
Enterprise,France, VTT ,787, $250.00 , $125.00 ,01/06/2014
Small Business,Germany, VTT ,986, $250.00 , $300.00 ,01/09/2014
Small Business,Mexico, VTT ,494, $250.00 , $300.00 ,01/10/2013
Government,Mexico, VTT ,1397, $250.00 , $350.00 ,01/10/2014
Enterprise,France, VTT ,1744, $250.00 , $125.00 ,01/11/2014
Channel Partners,United States of America, Amarilla ,1989, $260.00 , $12.00 ,01/09/2013
Midmarket,France, Amarilla ,321, $260.00 , $15.00 ,01/11/2013
Enterprise,Canada, Carretera ,742.5, $3.00 , $125.00 ,01/04/2014
Channel Partners,Canada, Carretera ,1295, $3.00 , $12.00 ,01/10/2014
Small Business,Germany, Carretera ,214, $3.00 , $300.00 ,01/10/2013
Government,France, Carretera ,2145, $3.00 , $7.00 ,01/11/2013
Government,Canada, Carretera ,2852, $3.00 , $350.00 ,01/12/2014
Channel Partners,United States of America, Montana ,1142, $5.00 , $12.00 ,01/06/2014
Government,United States of America, Montana ,1566, $5.00 , $20.00 ,01/10/2014
Channel Partners,Mexico, Montana ,690, $5.00 , $12.00 ,01/11/2014
Enterprise,Mexico, Montana ,1660, $5.00 , $125.00 ,01/11/2013
Midmarket,Canada, Paseo ,2363, $10.00 , $15.00 ,01/02/2014
Small Business,France, Paseo ,918, $10.00 , $300.00 ,01/05/2014
Small Business,Germany, Paseo ,1728, $10.00 , $300.00 ,01/05/2014
Channel Partners,United States of America, Paseo ,1142, $10.00 , $12.00 ,01/06/2014
Enterprise,Mexico, Paseo ,662, $10.00 , $125.00 ,01/06/2014
Channel Partners,Canada, Paseo ,1295, $10.00 , $12.00 ,01/10/2014
Enterprise,Germany, Paseo ,809, $10.00 , $125.00 ,01/10/2013
Enterprise,Mexico, Paseo ,2145, $10.00 , $125.00 ,01/10/2013
Channel Partners,France, Paseo ,1785, $10.00 , $12.00 ,01/11/2013
Small Business,Canada, Paseo ,1916, $10.00 , $300.00 ,01/12/2014
Government,Canada, Paseo ,2852, $10.00 , $350.00 ,01/12/2014
Enterprise,Canada, Paseo ,2729, $10.00 , $125.00 ,01/12/2014
Midmarket,United States of America, Paseo ,1925, $10.00 , $15.00 ,01/12/2013
Government,United States of America, Paseo ,2013, $10.00 , $7.00 ,01/12/2013
Channel Partners,France, Paseo ,1055, $10.00 , $12.00 ,01/12/2014
Channel Partners,Mexico, Paseo ,1084, $10.00 , $12.00 ,01/12/2014
Government,United States of America, Velo ,1566, $120.00 , $20.00 ,01/10/2014
Government,Germany, Velo ,2966, $120.00 , $350.00 ,01/10/2013
Government,Germany, Velo ,2877, $120.00 , $350.00 ,01/10/2014
Enterprise,Germany, Velo ,809, $120.00 , $125.00 ,01/10/2013
Enterprise,Mexico, Velo ,2145, $120.00 , $125.00 ,01/10/2013
Channel Partners,France, Velo ,1055, $120.00 , $12.00 ,01/12/2014
Government,Mexico, Velo ,544, $120.00 , $20.00 ,01/12/2013
Channel Partners,Mexico, Velo ,1084, $120.00 , $12.00 ,01/12/2014
Enterprise,Mexico, VTT ,662, $250.00 , $125.00 ,01/06/2014
Small Business,Germany, VTT ,214, $250.00 , $300.00 ,01/10/2013
Government,Germany, VTT ,2877, $250.00 , $350.00 ,01/10/2014
Enterprise,Canada, VTT ,2729, $250.00 , $125.00 ,01/12/2014
Government,United States of America, VTT ,266, $250.00 , $350.00 ,01/12/2013
Government,Mexico, VTT ,1940, $250.00 , $350.00 ,01/12/2013
Small Business,Germany, Amarilla ,259, $260.00 , $300.00 ,01/03/2014
Small Business,Mexico, Amarilla ,1101, $260.00 , $300.00 ,01/03/2014
Enterprise,Germany, Amarilla ,2276, $260.00 , $125.00 ,01/05/2014
Government,Germany, Amarilla ,2966, $260.00 , $350.00 ,01/10/2013
Government,United States of America, Amarilla ,1236, $260.00 , $20.00 ,01/11/2014
Government,France, Amarilla ,941, $260.00 , $20.00 ,01/11/2014
Small Business,Canada, Amarilla ,1916, $260.00 , $300.00 ,01/12/2014
Enterprise,France, Carretera ,4243.5, $3.00 , $125.00 ,01/04/2014
Government,Germany, Carretera ,2580, $3.00 , $20.00 ,01/04/2014
Small Business,Germany, Carretera ,689, $3.00 , $300.00 ,01/06/2014
Channel Partners,United States of America, Carretera ,1947, $3.00 , $12.00 ,01/09/2014
Channel Partners,Canada, Carretera ,908, $3.00 , $12.00 ,01/12/2013
Government,Germany, Montana ,1958, $5.00 , $7.00 ,01/02/2014
Channel Partners,France, Montana ,1901, $5.00 , $12.00 ,01/06/2014
Government,France, Montana ,544, $5.00 , $7.00 ,01/09/2014
Government,Germany, Montana ,1797, $5.00 , $350.00 ,01/09/2013
Enterprise,France, Montana ,1287, $5.00 , $125.00 ,01/12/2014
Enterprise,Germany, Montana ,1706, $5.00 , $125.00 ,01/12/2014
Small Business,France, Paseo ,2434.5, $10.00 , $300.00 ,01/01/2014
Enterprise,Canada, Paseo ,1774, $10.00 , $125.00 ,01/03/2014
Channel Partners,France, Paseo ,1901, $10.00 , $12.00 ,01/06/2014
Small Business,Germany, Paseo ,689, $10.00 , $300.00 ,01/06/2014
Enterprise,Germany, Paseo ,1570, $10.00 , $125.00 ,01/06/2014
Channel Partners,United States of America, Paseo ,1369.5, $10.00 , $12.00 ,01/07/2014
Enterprise,Canada, Paseo ,2009, $10.00 , $125.00 ,01/10/2014
Midmarket,Germany, Paseo ,1945, $10.00 , $15.00 ,01/10/2013
Enterprise,France, Paseo ,1287, $10.00 , $125.00 ,01/12/2014
Enterprise,Germany, Paseo ,1706, $10.00 , $125.00 ,01/12/2014
Enterprise,Canada, Velo ,2009, $120.00 , $125.00 ,01/10/2014
Small Business,United States of America, VTT ,2844, $250.00 , $300.00 ,01/02/2014
Channel Partners,Mexico, VTT ,1916, $250.00 , $12.00 ,01/04/2014
Enterprise,Germany, VTT ,1570, $250.00 , $125.00 ,01/06/2014
Small Business,Canada, VTT ,1874, $250.00 , $300.00 ,01/08/2014
Government,Mexico, VTT ,1642, $250.00 , $350.00 ,01/08/2014
Midmarket,Germany, VTT ,1945, $250.00 , $15.00 ,01/10/2013
Government,Canada, Carretera ,831, $3.00 , $20.00 ,01/05/2014
Government,Mexico, Paseo ,1760, $10.00 , $7.00 ,01/09/2013
Government,Canada, Velo ,3850.5, $120.00 , $20.00 ,01/04/2014
Channel Partners,Germany, VTT ,2479, $250.00 , $12.00 ,01/01/2014
Midmarket,Mexico, Montana ,2031, $5.00 , $15.00 ,01/10/2014
Midmarket,Mexico, Paseo ,2031, $10.00 , $15.00 ,01/10/2014
Midmarket,France, Paseo ,2261, $10.00 , $15.00 ,01/12/2013
Government,United States of America, Velo ,736, $120.00 , $20.00 ,01/09/2013
Government,Canada, Carretera ,2851, $3.00 , $7.00 ,01/10/2013
Small Business,Germany, Carretera ,2021, $3.00 , $300.00 ,01/10/2014
Government,United States of America, Carretera ,274, $3.00 , $350.00 ,01/12/2014
Midmarket,Canada, Montana ,1967, $5.00 , $15.00 ,01/03/2014
Small Business,Germany, Montana ,1859, $5.00 , $300.00 ,01/08/2014
Government,Canada, Montana ,2851, $5.00 , $7.00 ,01/10/2013
Small Business,Germany, Montana ,2021, $5.00 , $300.00 ,01/10/2014
Enterprise,Mexico, Montana ,1138, $5.00 , $125.00 ,01/12/2014
Government,Canada, Paseo ,4251, $10.00 , $7.00 ,01/01/2014
Enterprise,Germany, Paseo ,795, $10.00 , $125.00 ,01/03/2014
Small Business,Germany, Paseo ,1414.5, $10.00 , $300.00 ,01/04/2014
Small Business,United States of America, Paseo ,2918, $10.00 , $300.00 ,01/05/2014
Government,United States of America, Paseo ,3450, $10.00 , $350.00 ,01/07/2014
Enterprise,France, Paseo ,2988, $10.00 , $125.00 ,01/07/2014
Midmarket,Canada, Paseo ,218, $10.00 , $15.00 ,01/09/2014
Government,Canada, Paseo ,2074, $10.00 , $20.00 ,01/09/2014
Government,United States of America, Paseo ,1056, $10.00 , $20.00 ,01/09/2014
Midmarket,United States of America, Paseo ,671, $10.00 , $15.00 ,01/10/2013
Midmarket,Mexico, Paseo ,1514, $10.00 , $15.00 ,01/10/2013
Government,United States of America, Paseo ,274, $10.00 , $350.00 ,01/12/2014
Enterprise,Mexico, Paseo ,1138, $10.00 , $125.00 ,01/12/2014
Channel Partners,United States of America, Velo ,1465, $120.00 , $12.00 ,01/03/2014
Government,Canada, Velo ,2646, $120.00 , $20.00 ,01/09/2013
Government,France, Velo ,2177, $120.00 , $350.00 ,01/10/2014
Channel Partners,France, VTT ,866, $250.00 , $12.00 ,01/05/2014
Government,United States of America, VTT ,349, $250.00 , $350.00 ,01/09/2013
Government,France, VTT ,2177, $250.00 , $350.00 ,01/10/2014
Midmarket,Mexico, VTT ,1514, $250.00 , $15.00 ,01/10/2013
Government,Mexico, Amarilla ,1865, $260.00 , $350.00 ,01/02/2014
Enterprise,Mexico, Amarilla ,1074, $260.00 , $125.00 ,01/04/2014
Government,Germany, Amarilla ,1907, $260.00 , $350.00 ,01/09/2014
Midmarket,United States of America, Amarilla ,671, $260.00 , $15.00 ,01/10/2013
Government,Canada, Amarilla ,1778, $260.00 , $350.00 ,01/12/2013
Government,Germany, Montana ,1159, $5.00 , $7.00 ,01/10/2013
Government,Germany, Paseo ,1372, $10.00 , $7.00 ,01/01/2014
Government,Canada, Paseo ,2349, $10.00 , $7.00 ,01/09/2013
Government,Mexico, Paseo ,2689, $10.00 , $7.00 ,01/10/2014
Channel Partners,Canada, Paseo ,2431, $10.00 , $12.00 ,01/12/2014
Channel Partners,Canada, Velo ,2431, $120.00 , $12.00 ,01/12/2014
Government,Mexico, VTT ,2689, $250.00 , $7.00 ,01/10/2014
Government,Mexico, Amarilla ,1683, $260.00 , $7.00 ,01/07/2014
Channel Partners,Mexico, Amarilla ,1123, $260.00 , $12.00 ,01/08/2014
Government,Germany, Amarilla ,1159, $260.00 , $7.00 ,01/10/2013
Channel Partners,France, Carretera ,1865, $3.00 , $12.00 ,01/02/2014
Channel Partners,Germany, Carretera ,1116, $3.00 , $12.00 ,01/02/2014
Government,France, Carretera ,1563, $3.00 , $20.00 ,01/05/2014
Small Business,United States of America, Carretera ,991, $3.00 , $300.00 ,01/06/2014
Government,Germany, Carretera ,1016, $3.00 , $7.00 ,01/11/2013
Midmarket,Mexico, Carretera ,2791, $3.00 , $15.00 ,01/11/2014
Government,United States of America, Carretera ,570, $3.00 , $7.00 ,01/12/2014
Government,France, Carretera ,2487, $3.00 , $7.00 ,01/12/2014
Government,France, Montana ,1384.5, $5.00 , $350.00 ,01/01/2014
Enterprise,United States of America, Montana ,3627, $5.00 , $125.00 ,01/07/2014
Government,Mexico, Montana ,720, $5.00 , $350.00 ,01/09/2013
Channel Partners,Germany, Montana ,2342, $5.00 , $12.00 ,01/11/2014
Small Business,Mexico, Montana ,1100, $5.00 , $300.00 ,01/12/2013
Government,France, Paseo ,1303, $10.00 , $20.00 ,01/02/2014
Enterprise,United States of America, Paseo ,2992, $10.00 , $125.00 ,01/03/2014
Enterprise,France, Paseo ,2385, $10.00 , $125.00 ,01/03/2014
Small Business,Mexico, Paseo ,1607, $10.00 , $300.00 ,01/04/2014
Government,United States of America, Paseo ,2327, $10.00 , $7.00 ,01/05/2014
Small Business,United States of America, Paseo ,991, $10.00 , $300.00 ,01/06/2014
Government,United States of America, Paseo ,602, $10.00 , $350.00 ,01/06/2014
Midmarket,France, Paseo ,2620, $10.00 , $15.00 ,01/09/2014
Government,Canada, Paseo ,1228, $10.00 , $350.00 ,01/10/2013
Government,Canada, Paseo ,1389, $10.00 , $20.00 ,01/10/2013
Enterprise,United States of America, Paseo ,861, $10.00 , $125.00 ,01/10/2014
Enterprise,France, Paseo ,704, $10.00 , $125.00 ,01/10/2013
Government,Canada, Paseo ,1802, $10.00 , $20.00 ,01/12/2013
Government,United States of America, Paseo ,2663, $10.00 , $20.00 ,01/12/2014
Government,France, Paseo ,2136, $10.00 , $7.00 ,01/12/2013
Midmarket,Germany, Paseo ,2116, $10.00 , $15.00 ,01/12/2013
Midmarket,United States of America, Velo ,555, $120.00 , $15.00 ,01/01/2014
Midmarket,Mexico, Velo ,2861, $120.00 , $15.00 ,01/01/2014
Enterprise,Germany, Velo ,807, $120.00 , $125.00 ,01/02/2014
Government,United States of America, Velo ,602, $120.00 , $350.00 ,01/06/2014
Government,United States of America, Velo ,2832, $120.00 , $20.00 ,01/08/2014
Government,France, Velo ,1579, $120.00 , $20.00 ,01/08/2014
Enterprise,United States of America, Velo ,861, $120.00 , $125.00 ,01/10/2014
Enterprise,France, Velo ,704, $120.00 , $125.00 ,01/10/2013
Government,France, Velo ,1033, $120.00 , $20.00 ,01/12/2013
Small Business,Germany, Velo ,1250, $120.00 , $300.00 ,01/12/2014
Government,Canada, VTT ,1389, $250.00 , $20.00 ,01/10/2013
Government,United States of America, VTT ,1265, $250.00 , $20.00 ,01/11/2013
Government,Germany, VTT ,2297, $250.00 , $20.00 ,01/11/2013
Government,United States of America, VTT ,2663, $250.00 , $20.00 ,01/12/2014
Government,United States of America, VTT ,570, $250.00 , $7.00 ,01/12/2014
Government,France, VTT ,2487, $250.00 , $7.00 ,01/12/2014
Government,Germany, Amarilla ,1350, $260.00 , $350.00 ,01/02/2014
Government,Canada, Amarilla ,552, $260.00 , $350.00 ,01/08/2014
Government,Canada, Amarilla ,1228, $260.00 , $350.00 ,01/10/2013
Small Business,Germany, Amarilla ,1250, $260.00 , $300.00 ,01/12/2014
Midmarket,France, Paseo ,3801, $10.00 , $15.00 ,01/04/2014
Government,United States of America, Carretera ,1117.5, $3.00 , $20.00 ,01/01/2014
Midmarket,Canada, Carretera ,2844, $3.00 , $15.00 ,01/06/2014
Channel Partners,Mexico, Carretera ,562, $3.00 , $12.00 ,01/09/2014
Channel Partners,Canada, Carretera ,2299, $3.00 , $12.00 ,01/10/2013
Midmarket,United States of America, Carretera ,2030, $3.00 , $15.00 ,01/11/2014
Government,United States of America, Carretera ,263, $3.00 , $7.00 ,01/11/2013
Enterprise,Germany, Carretera ,887, $3.00 , $125.00 ,01/12/2013
Government,Mexico, Montana ,980, $5.00 , $350.00 ,01/04/2014
Government,Germany, Montana ,1460, $5.00 , $350.00 ,01/05/2014
Government,France, Montana ,1403, $5.00 , $7.00 ,01/10/2013
Channel Partners,United States of America, Montana ,2723, $5.00 , $12.00 ,01/11/2014
Government,France, Paseo ,1496, $10.00 , $350.00 ,01/06/2014
Channel Partners,Canada, Paseo ,2299, $10.00 , $12.00 ,01/10/2013
Government,United States of America, Paseo ,727, $10.00 , $350.00 ,01/10/2013
Enterprise,Canada, Velo ,952, $120.00 , $125.00 ,01/02/2014
Enterprise,United States of America, Velo ,2755, $120.00 , $125.00 ,01/02/2014
Midmarket,Germany, Velo ,1530, $120.00 , $15.00 ,01/05/2014
Government,France, Velo ,1496, $120.00 , $350.00 ,01/06/2014
Government,Mexico, Velo ,1498, $120.00 , $7.00 ,01/06/2014
Small Business,France, Velo ,1221, $120.00 , $300.00 ,01/10/2013
Government,France, Velo ,2076, $120.00 , $350.00 ,01/10/2013
Midmarket,Canada, VTT ,2844, $250.00 , $15.00 ,01/06/2014
Government,Mexico, VTT ,1498, $250.00 , $7.00 ,01/06/2014
Small Business,France, VTT ,1221, $250.00 , $300.00 ,01/10/2013
Government,Mexico, VTT ,1123, $250.00 , $20.00 ,01/11/2013
Small Business,Canada, VTT ,2436, $250.00 , $300.00 ,01/12/2013
Enterprise,France, Amarilla ,1987.5, $260.00 , $125.00 ,01/01/2014
Government,Mexico, Amarilla ,1679, $260.00 , $350.00 ,01/09/2014
Government,United States of America, Amarilla ,727, $260.00 , $350.00 ,01/10/2013
Government,France, Amarilla ,1403, $260.00 , $7.00 ,01/10/2013
Government,France, Amarilla ,2076, $260.00 , $350.00 ,01/10/2013
Government,France, Montana ,1757, $5.00 , $20.00 ,01/10/2013
Midmarket,United States of America, Paseo ,2198, $10.00 , $15.00 ,01/08/2014
Midmarket,Germany, Paseo ,1743, $10.00 , $15.00 ,01/08/2014
Midmarket,United States of America, Paseo ,1153, $10.00 , $15.00 ,01/10/2014
Government,France, Paseo ,1757, $10.00 , $20.00 ,01/10/2013
Government,Germany, Velo ,1001, $120.00 , $20.00 ,01/08/2014
Government,Mexico, Velo ,1333, $120.00 , $7.00 ,01/11/2014
Midmarket,United States of America, VTT ,1153, $250.00 , $15.00 ,01/10/2014
Channel Partners,Mexico, Carretera ,727, $3.00 , $12.00 ,01/02/2014
Channel Partners,Canada, Carretera ,1884, $3.00 , $12.00 ,01/08/2014
Government,Mexico, Carretera ,1834, $3.00 , $20.00 ,01/09/2013
Channel Partners,Mexico, Montana ,2340, $5.00 , $12.00 ,01/01/2014
Channel Partners,France, Montana ,2342, $5.00 , $12.00 ,01/11/2014
Government,France, Paseo ,1031, $10.00 , $7.00 ,01/09/2013
Midmarket,Canada, Velo ,1262, $120.00 , $15.00 ,01/05/2014
Government,Canada, Velo ,1135, $120.00 , $7.00 ,01/06/2014
Government,United States of America, Velo ,547, $120.00 , $7.00 ,01/11/2014
Government,Canada, Velo ,1582, $120.00 , $7.00 ,01/12/2014
Channel Partners,France, VTT ,1738.5, $250.00 , $12.00 ,01/04/2014
Channel Partners,Germany, VTT ,2215, $250.00 , $12.00 ,01/09/2013
Government,Canada, VTT ,1582, $250.00 , $7.00 ,01/12/2014
Government,Canada, Amarilla ,1135, $260.00 , $7.00 ,01/06/2014
Government,United States of America, Carretera ,1761, $3.00 , $350.00 ,01/03/2014
Small Business,France, Carretera ,448, $3.00 , $300.00 ,01/06/2014
Small Business,France, Carretera ,2181, $3.00 , $300.00 ,01/10/2014
Government,France, Montana ,1976, $5.00 , $20.00 ,01/10/2014
Small Business,France, Montana ,2181, $5.00 , $300.00 ,01/10/2014
Enterprise,Germany, Montana ,2500, $5.00 , $125.00 ,01/11/2013
Small Business,Canada, Paseo ,1702, $10.00 , $300.00 ,01/05/2014
Small Business,France, Paseo ,448, $10.00 , $300.00 ,01/06/2014
Enterprise,Germany, Paseo ,3513, $10.00 , $125.00 ,01/07/2014
Midmarket,France, Paseo ,2101, $10.00 , $15.00 ,01/08/2014
Midmarket,United States of America, Paseo ,2931, $10.00 , $15.00 ,01/09/2013
Government,France, Paseo ,1535, $10.00 , $20.00 ,01/09/2014
Small Business,Germany, Paseo ,1123, $10.00 , $300.00 ,01/09/2013
Small Business,Canada, Paseo ,1404, $10.00 , $300.00 ,01/11/2013
Channel Partners,Mexico, Paseo ,2763, $10.00 , $12.00 ,01/11/2013
Government,Germany, Paseo ,2125, $10.00 , $7.00 ,01/12/2013
Small Business,France, Velo ,1659, $120.00 , $300.00 ,01/07/2014
Government,Mexico, Velo ,609, $120.00 , $20.00 ,01/08/2014
Enterprise,Germany, Velo ,2087, $120.00 , $125.00 ,01/09/2014
Government,France, Velo ,1976, $120.00 , $20.00 ,01/10/2014
Government,United States of America, Velo ,1421, $120.00 , $20.00 ,01/12/2013
Small Business,United States of America, Velo ,1372, $120.00 , $300.00 ,01/12/2014
Government,Germany, Velo ,588, $120.00 , $20.00 ,01/12/2013
Channel Partners,Canada, VTT ,3244.5, $250.00 , $12.00 ,01/01/2014
Small Business,France, VTT ,959, $250.00 , $300.00 ,01/02/2014
Small Business,Mexico, VTT ,2747, $250.00 , $300.00 ,01/02/2014
Enterprise,Canada, Amarilla ,1645, $260.00 , $125.00 ,01/05/2014
Government,France, Amarilla ,2876, $260.00 , $350.00 ,01/09/2014
Enterprise,Germany, Amarilla ,994, $260.00 , $125.00 ,01/09/2013
Government,Canada, Amarilla ,1118, $260.00 , $20.00 ,01/11/2014
Small Business,United States of America, Amarilla ,1372, $260.00 , $300.00 ,01/12/2014
Government,Canada, Montana ,488, $5.00 , $7.00 ,01/02/2014
Government,United States of America, Montana ,1282, $5.00 , $20.00 ,01/06/2014
Government,Canada, Paseo ,257, $10.00 , $7.00 ,01/05/2014
Government,United States of America, Amarilla ,1282, $260.00 , $20.00 ,01/06/2014
Enterprise,Mexico, Carretera ,1540, $3.00 , $125.00 ,01/08/2014
Midmarket,France, Carretera ,490, $3.00 , $15.00 ,01/11/2014
Government,Mexico, Carretera ,1362, $3.00 , $350.00 ,01/12/2014
Midmarket,France, Montana ,2501, $5.00 , $15.00 ,01/03/2014
Government,Canada, Montana ,708, $5.00 , $20.00 ,01/06/2014
Government,Germany, Montana ,645, $5.00 , $20.00 ,01/07/2014
Small Business,France, Montana ,1562, $5.00 , $300.00 ,01/08/2014
Small Business,Canada, Montana ,1283, $5.00 , $300.00 ,01/09/2013
Midmarket,Germany, Montana ,711, $5.00 , $15.00 ,01/12/2014
Enterprise,Mexico, Paseo ,1114, $10.00 , $125.00 ,01/03/2014
Government,Germany, Paseo ,1259, $10.00 , $7.00 ,01/04/2014
Government,Germany, Paseo ,1095, $10.00 , $7.00 ,01/05/2014
Government,Germany, Paseo ,1366, $10.00 , $20.00 ,01/06/2014
